ID	Tweet	차원에 영향을	강도 클래스
2017-ja-30752	@CazuaL_WeaR @ScottInSC 내 총 모양의 책처럼 보이는 # itsagunalright	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31207	@alicereidy 자신의 풍성한 이탈리아 쪽이 더	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-30965	노래의 끝 부분의 작은 스닛후루가 매번 난을 얻습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31403	그것은 가장 편안하고 & amp; 나를 위해 최선의 것을하는 것, 그리고 내가 지켜 열성적인 회사를하는 것에 기쁨을 느낍니다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-31228	@LBC_Charlotte 그냥 좋은 벽에서 당신을 봤어요 # 명랑한 😆	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31498	@ErinAndrews 나는 DWTS에서 당신에게 ❤️you 당신은 모든 쇼의 내 밤을 만든다! 😘 # 명랑한	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-30279	@ maisiev # 통해이 놀라운 live.ly 방송을보세요. # musically	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-30827	나는 가족을 사랑 해요 # 다행히 # 다행히 #smartassfamily # love	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-30991	@ditzkoff @jpodhoretz 유머로 발음 jpod의 환상을 당할 같은 세계에 은유는 없습니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-31272	@MaureenKamash 그것은 좋은 질문입니다. 난 정말 모르겠어요. 나는 천천히 낙관론을 잃고 있습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-31535	당신이 무엇을하려고 결정하더라도 그것이 당신을 행복하게하는 것을 확인하십시오.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-30781	아프가니스탄과 이라크 주둔 영국군의 학대 의혹에 관한 질문과 브레이크 후 영국 경제를 제안하는 데이터가 맨 앞에 표시되어있다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-30069	당신의 하루가 # 평화 채워지도록 # 딸을 사랑하십시오 #Success # JummahMubarak😇, 안녕 @WaseemBadami 가득한 아주 좋은 하루를	기쁨	3 : 높은 기쁨이 추측 할 수있다
2017-En-30621	Pinterest 하나의 디저트 ... 다음 수는 27 종류의 시각적으로 기분 좋은 입맛을 만들고 과자를 만들지 말라 아는 것입니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-31398	@BarberCeleste insta와 사랑을하고 있습니다 !!! ... # hilarious	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-30030	리뉴얼 한 GunnySmith93 (@ Stephen21Smith) : \ n \ n 오늘 같은 날들 난 살아있어 행복합니다! #blessed # rejoice	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31141	빠키스는 샤리프의 연설을 박수하고 있습니다. 그가 말한 것을 정말 어떤 사람이 이해하고있는 것일까 의문으로 생각합니다 !!!! \ n 그들은 매우 흥분하고 행복합니다. 기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-30446	@ FullTimeDEVILS 멤피스가 밝아 보인다. Rojo는 Rojo처럼 보인다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30120	@clonmacart 나는 기꺼이 빛나고 있습니다.	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-30443	무언가가 당신을 흥분시키고 무섭게 흥분시키고 긴장시키고 화나게 당신은 한 번 용기에 댄 것처럼. 이를 위해 필요한 것은	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-31449	크로스 핏 휴스턴 라 홈 폭스 (Spry Proprieties Regimes) : AJaFUE	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-30589	@elena_yip 당신을 위해 내 임의의 추측! 잠재적 인 Amelie, Kenneth of 30 Rock (그러나 텔레비전 대신 YA) & amp; 아마 라라 진 낙관론이란?	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-30104	아, 잔디 밖으로 젊은 여우가 조금 장난기 가득 날아 다니고, 약간의 스트레칭이있어 귀여운 🐺	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-30863	@HunterDean_ [그는 좋은 소리를 내고 당신을 감싸는] 내 물건!	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31215	행복은 인생을 즐겁게 것이 아니다 선택합니다. # ALDUB62ndWeeksary	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30275	나는 웃음의 연기 구름이 영원히 당신의 주위를 수영 바랍니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-31206	그것은 건조하는 것보다 젖어있는 것이 좋습니다 - 칩 Val 감사합니다. 이번 주 첫 #GBBO 왕성한 고래	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30715	오늘은 너무 기분이 나쁩니다. 하루 종일 가지고 같은 맨발로 학교 밤에 돌아갈 수 없습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31255	@OccasionalGod 공포가 확산하고있는 이유는 아니다? 악몽에서 오는 상쾌함 재미 - The Green Room : D	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30786	인생은 서로를 기쁘게하려고하지 않습니다 ... \ n \ n # 지옥 #과 함께	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31372	#Taurus 여성은 아름다운 달빛에 빛나는 빛나는 보석입니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-31407	확실히 .... # 스미스 ... 최고의 # medicine😊😊😊	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31242	@ jay_roseee 그러나 신풍 & amp; 티 🔥🔥🔥🔥🔥	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30565	@SoCalValerie 이것은 Apples 무슬림을 행복하게하려고 한 것이 었습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30982	나는 잔인한 선망 당신의 명랑한 미소를 부어 당신의 적극적인 자세는 당신이 습득 한 예술이다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-ja-31382	나는 유나이티드 병이라면 이것은 내 마음이 웃음에서 실제로 붕괴하는 것을 두려워합니다.	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-30745	새벽의 명랑한 정말 난감합니다. # ALDUB62ndWeeksary	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30865	밝고 기꺼이 수락하면 모두가 축복됩니다. »Maya Angelou	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-30687	@SXMUrbanView @ karenhunter @CousinSyl 당신은 이것을 위해 잘못입니다! 그 녹음 후 필요한 경량	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-30769	@ govph 나는 국가의 운영에 관한 대통령의 낙관론의 근원에 대해 알고 싶습니다. 나는 그가 나의 호기심에 대답 할 수 있을까 생각합니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-31441	NY Phil 웹 캐스트를 본다. 부족한 것. 일단이 Bway에서 본 기쁨의 여행을 생각 나게한다. 거쉬 만 할지도 모른다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30818	내가 지루가되는 것은 여기에 회사와 활기의 부족뿐입니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-30000	Burslem의 @GaryDelaney를보고 나서 다시 왔습니다. 멋진! 얼굴은 여전히 ​​웃고 있기 때문에 아픕니다. # 너무 재미	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-31545	KX4의 POV에 전화를 걸었다 사람들이 내 밤을합니다. # hilarious	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-30254	로조는 재밌어요.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-30208	아이콘 뽀카마입니다. \ n 그는 너무 귀여워서 쉽게 기쁩니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-31588	그런데, 자본은 활발합니다! # EFLCup	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-30459	#Followback Quote_Soup : 모든이 뛰어나다 때문이 아니라, 모든 좋은면을 볼 수 있기 때문에 만족합니다. # optimism	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-31338	@FieldYates @MatthewBerryTMR @Stephania_ESPN @MikeClayNFL @FrankCaliendo goddamn ... 결국 '연예인'초안은 고전했다. # hilarious	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-31213	@ SquishyJiminie aww 감사합니다! 오늘은 계속 좋아지고 있다고 확신합니다. 당신의 메시지는 저를 응원 해주고 있습니다. ☺️	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-30337	@globemartyk 'drunken patroons'는이 모든 상황을 훨씬 더 즐겁게한다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-30768	Shanghais의 주요 산만 높이 팜파스 - 적절한 딩글은 持ち去る : uUDQujcia	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-31302	IDC는 2020 년까지 클라우드라는 단어가 사용되지 않을 것으로 예상하고 있습니다 ... '\ n \ nIT 매니저와 관리자는 어디서나 환영합니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-30771	@ __Dayo yall 나쁜 감정은 없습니다 .. 당신은 기쁘게 생각합니다 ... itnis은 무엇입니까 ... 항상 여섯 번째 문자열 DB를 재생하는 경우에도 #ColtsNation 입니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30896	나가서 즉시 신선한 공기를 얻을 좋은 분위기입니다. 하루 종일 # breezy	안에 있던 계속 어렵습니다. 기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31233	오늘의 최고의 부분 예수님은 당신의 포옹에 안겨 ... 당신의 품안에 잠 당신이 날 사랑하는지 알고 있습니다 ... 💙 #sweetEmbrace # delight	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31486	제레미 목사의 집에서 폭발적인 게임과 목소리를 듣고 # 친목 # 음식 # 딸 # 칭찬 # gospel # coffey1617	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-31594	@ lakeline 난 아직도 당신이 마음에 듭니다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-30749	f 브리	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-30169	@ NBCChicagoPD과 @NBCChicagoMed의 프리미어에 맞춰 새로운 장소에 케이블을 연결하는 것은 하나님이 나를 웃고있는 것 같다. # OneChicago	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30280	@AJStylesOrg 나는 그들에게 당신이 찍은 자아 미치광이을 가지고 있다는 것을 알고 있지만, 나 자신과 같은 독창적 인 기독교인이라고 듣고 매우 기뻐 지금 했다. 약혼자	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30666	@lennyabrahamson #HeroTheGreyhound의 사본을 보낼 수 있습니까? 전자 책 또는 진짜 종이 중 하나 소년과 그레이 하운드 #smiles # tears	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30682	@ buzzlightbeard2 당신이 자신을 사랑하지 않는다면 ... 정직은 최선의 정책이다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31263	OK, BSNL에 아직 희망이있는 것 같습니다. \ n 지금 BB 속도는 괜찮습니다. \ n 그러나 잊어서는 안됩니다. 기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31059	쯔이 단연 수트 짹짹 처 로스	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-30370	@ haythatjamile8 의해이 놀라운 live.ly 방송을보세요. # musically	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30495	명랑한 기분 기분이 좋은 기분으로 일수록 소비는 증가 남아있는 것은 더 남아 있습니다. Ralph Waldo Emerson	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-ja-30351	@kaylaaa_sartorious # musically & nbsp;에 의해이 놀라운 live.ly 방송을보세요. 기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30548	@EtherealMystic_ - 그는 통제 할 수없는 느낌 - 그리고 여기에서 그녀는 자신을 많이주고 헌신적으로 그를 기쁘게했다. 그의 슬픔은 -	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31221	브레넌 요리와 바람이 함께 돌아올 것입니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-31011	Oii oiii @ Louis_Tomlinson! \ n 항상 미소 해 주셔서 감사합니다! 내 생일은 16 일 후입니다. me 선물로 날 쫓아? 🎁X225,884	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31598	첼시와의 경기가 오는 데는 WHU은 이전 청구서가되지 않습니까? 😂😂😂😂n nn😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-31581	#EalingComedies의 @ Richardegrant 새롭고 흥미로운 시리즈 다만 잡았다. 모든 인터뷰와 영화 클립 전염성 기쁨.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-31114	#SIGUEMEYTESIGO #happy #snapchat Manuellynch99 # venezuela	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30521	@ delon03 당신은 적어도 그녀를 지나쳐 웃음을 우연히 만날 수 있나요? 기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-31597	탈수, 피로, 스트레스가 걸리지 만, 아직 축복입니다. # optimism	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30218	이번 주 왜 그냥 기쁨을보고 시작합니까? 지금은 중독되어 있습니다 🙄 # e ## GLEEK	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-31301	@ Coffeeking12 @jsavite 조금 중력을 주입했다! 코크스 / 강간의 트윗 트윗 한 사람은 분명히 바보입니다. 기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31444	당신이 노래가 일주일에 한 번 합창하는 시간이 없다면 내일 @theartworksuk에서 #KWOIR 오세요! #Choir # musiclondon	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30519	인세나 23 세, 재미, 희망으로 분위기가	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-30238	Geo 만 나를 응원 할 수 있습니다 .❤️❤️❤️	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-30957	@ paraplyene @soupper 그냥 읽고 너무 재미 있나요? 경쾌하고 명랑한 내가 옳았다 그것은 나를 위해 더블 캐비티입니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30330	@lawson__lynch 내 작은 소녀 오른발을 기쁘게	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-30249	로조는 매우 재미 있고 흥미 롭습니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30732	Val은 나의 맛을 위해 너무 기쁩니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-31344	남자가 잘 살고, 그 배후에있는 많은 행복한 미망인 남기기 위해서는 충분히 길어질지도 모릅니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-30032	LOVE LOVE LOVE #fun # relaxationiskey	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-30284	@ flydudern # 통해이 놀라운 live.ly 방송을보세요. # musically	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-30667	@CNBCFastMoney Harwood는 이러한 새로운 숫자로 기꺼이이 보고서에 돈을 걸고 ... 그것을 잃을 것 같다 ... @ HillaryClinton liarthiefscoundrel	기쁨	0 : 기쁨 추측 할 수없는
2017-JA-31377	@howcaniapply @radioscarboro 나의 기쁨 더!	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-30122 & nbsp;이 차가운 차분한 가을 날 어떨까요 ..😍🍂🌾🍁	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-30382	youtube에서 일부 코미디를 시도하는 것을 생각하고있다. 항상 좋아했다. 너트 업 시간. #comedy # maybeoneday # 잘하면 # LOL	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-ja-30377	- 회의적인 표현을 웃고 재미를 보낸다. 브루스는 단순한 장면을 비웃었다. 이것은 배트맨 것은 없습니다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30089	안녕하세요 트론헤임! #optimism # productivity⛅️❤️🇳🇴🏢💻🖥🏋🏻💪🏼📺🍿	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-30810	@MaxVenator 우리는 외교 정책은 없었으나, 그의 악마와 존 케리 국무 장관이 포즈를 파악하고, 파란 스카프를 걱정하기도했습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30952	천사의 기쁨은 내 전부에요	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-30880	메탈은 당신을 젊게 유지 계속 머리를 화려하게 유지합니다. \ n \ nYES \ n \ n 내게 묻고 듣는	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-30273	아바타를보고 ​​난 왜 이걸보고 오랫동안 시간을했는지 생각해보고 기꺼이 힙 붕괴 *	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-En-31239	@_BlueCouture 인종 차별이 인종 차별임을 이해하지 않는 당신의 마음은 선택의 단어를 사용 여부에 관계없이 명랑한입니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-31577	부정적인 것을 찾아내는 것을 시도하십시오. 부정적인 시각은 좋은 것으로 판명 될 수 있습니다. \ n # 불안 완화 # openminded	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30305	이스라엘 나라에 복구 약속 ... 어디서나 당신이 축복하는 것 ... 곳간 / 와인 넘쳐. 아름다운 것들 모두 # do_u_see	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-ja-30907	#GBBO 나를 응원 할 수 있습니다 ☺️	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30436	회개하고 그리스도의 믿음. 그것은 낮은 괴로운이지만, 그것은 또한 기쁨, 평화이며, 절대적으로 영광입니다. (2/2)	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-31093	@BjerkeDanielle @FunnySayings 웃음 그것은 메리	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-ja-30942	@IreneEstry 당신을 만나기 위해 기다릴 수 없습니다 .Hoon #cuddles #gossip # laughter	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-30995	내 전화 중 샤바즈의 이름은 "쉬운 아름다운"& amp; 나는 사과하지 않습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-30935	#blackish은 항상 나에게 # rollin	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-30917	@DDogsScout '아! '빅 보스는 대부분 이상한 명랑하고 "총구 플래시 블라인드"를 제공하고 있습니다. 나의 가장 친한 친구가 된 사람에 의해 사고가 일어났다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31592	@ xmaseveevil1. #MSM들은 오랫동안 이러한 바디 더블로 우리를 속여 온 것을 기쁘게 생각합니다. 지금은 그녀의 죽음은 비밀입니다. Hawkings처럼	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31327	몬타루보로 향하는 - @ jaxster3 - #mirth 암컷을 데려 온다! \ nd (-_-) b \ n @ Nick_Offerman \ n @ MeganOMullally \ n # SummerOf69Tour2016	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-31352	@ Irenelove83는 우리가 할 수있는 것을 자랑으로 여기고 있습니다. Brock와 Sable 팀 mr과 AWOL에 태그를 붙여 glee에서 지켜 봅니다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-31612	나는 짹짹 짹짹 여자가되지 않는	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-31044 & nbsp;하지만 아저씨는 요구하고있다. # UncleBuck	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-JA-30248	오래된 'to do'.doc 파일을 열고 당신이 만든 모든 것을 체크 할 수있는 것을 만족하고있는 것이 있습니다.	기쁨	2 : 중간 정도의 기쁨을 짐작할 수있다
2017-JA-30683	Oblivion 점수를 듣거나 커피를 마시거나 새로운 SF 프로젝트를 연구하고 있습니다.	기쁨	0 : 기쁨은 추측 할 수없는
2017-En-30520	@ 88Palouseriver @ABC @NRA 나는 어떤 바보가 유전자 풀에서 검색되는 모든 시간을 만족시킨다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30016	그러나 @ WyoWiseGuy @ LivingVertical 그러나 REI는 오늘도 나에게 일자리를 제공하여주었습니다. 어떻게 기하 급수적으로 이상한 기쁨을 느낄 수 없다 ... 기분이 ...!	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31150	오늘의 연필을 날카롭게하고 1999 년 이후 한 번도 예리하지 않습니다. ✏	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-ja-30605	Athenian : 기쁨이 일의 질서 일 때, 그는 가장 많은 기쁨을 가장 많이주는 사람을 존경해야한다 (Laws).	기쁨	0 : 기쁨은 추측 할 수없는
2017-JA-30994	@WHUFC_HUB @ westhamtransfer @TheHammers_ 나는이 시점에서 낙관적 인 이유를 볼 수 없습니다. 함께 나쁜 연주를 함께 문자열.	기쁨	0 : 기쁨은 추측 할 수없는
2017-ja-30348	@swagrman_fan 의해이 좋은 live.ly 방송을보세요. # musically	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-31021	이번 주 @ bestshow4life는 22 분에 시작 바로 패러다임의 변화 수준의 기쁨입니다.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-31101	세계는 더 웃고 더 많은 사랑, 그리고 좀 더 당신을 필요로합니다. - RM 드레이크	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-31433	#lofit는 #laughter #happiness #spiritual #mental #physical #pizza입니다. 그냥 피자 대해 농담을 말한다. 착용감을 위해 모든면에서 열심히 일하고 있습니다!	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-JA-31013	내 @timehop ​​그대로 2 년 전부터 게시물을 볼 때 나는 몹시 아프게 버렸습니다.	기쁨	3 : 높은 기쁨을 짐작할 수있다
2017-En-31214	@ATRumping haha ​​hahahaha !!있는 음. 당신은 재밌어요. 인종 차별을 살려 흑인. 여기서 나가주세요.	기쁨	1 : 낮은 기쁨을 짐작할 수있다
2017-En-30110	항상 기분 좋게 다른 사람을 행복하게 다른 사람을 걱정하고 무력감과 취약점을 돕는다. 인생은 잘 # 리더십	기쁨	3 : 높은 기쁨을 짐작할 수있다
