ID	Tweet	차원에 영향을	강도 클래스
2017-ja-11107	@jonfavs Don King은 Black Community의 지성에 대한 모욕입니다. 이 사람들은 무엇을 생각합니까?	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11530	@ Arsenal Giroud 수염이 날 화나게있다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-40971	@mandyjohnson 솔직히이 될 것이다 .. 나는 이번 나오는 '날 봐'pout과 성가신 남쪽 빈트가 기원합니다! 세루라시 # FTW	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10623	@jaybusbee 글쎄, 아치가 아니다. 범행은 아니지만, 그는 조금 오래된.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11331	@RadioX @ChrisMoyles 와우. 이것을 영원히 들어 본 적이 없습니다. 랜덤입니다. 좋은 # xph	분노	0 : 분노는 추정 할 수없는
2017-ja-11147	나는 내가이 피치를 데리러 이러한 화상은 똑같이 얻을 수 없습니다. # 스팅	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11158	ICQ 그냥 날 화나게뿐입니다 !!! 😤 # icq # angry	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11248	성난 경우 생과자에 좌절감을 때려 # GBBO	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10026	@DIVAmagazine는 스트레이트 한 사람보다 우수합니다. 3 인조를 의미한다고 생각 똑 바른 남자들도 괜찮습니다. #angry # fuming	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11075	아, daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr # ChicagoPD	분노	0 : 분노는 추정 할 수없는
2017-En-40458	@talkRobyn 아 아 이걸 봐야한다 비공의 여성은 잘	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10481	그는 그것에 대해 완전히 알고 있었다. 트럼프는 마침내 그의 사위 고발 / 투옥에 대한 복수를 얻고, 버스에서 크리스티을 던지고 있습니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11344	@ Dak2future 장식 이미 저지 위에 올라 있습니다. # outrage	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11121	우리는 복수를 위해 다음 라운드에서 시티를 얻을 것입니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-10748	@JOjojosiejay 또는 내 경우는 화가 무디 소 웃음을 왜 이상한 소 양말을 구입하는	분노	0 : 분노는 추정 할 수없는
2017-En-11559	누군가가 같은 일을해도 다른 사람에게 의견을 강요하고도 화가 버리는 사람은 존경받는 없습니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11141	모두를위한 팁 : 미루지 마십시오. 끝. #offended #quit #youredumb # liveyourownlife	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10919	왜 허영의 크기를 가지고 있습니까? 현재 사이즈 S, XS (evenXXS 가끔)가 너무 큽니다. 리투아니아는이 같은 것은 필요 없습니다. #rant # angry	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11548	마지막으로, # 케이트 스콧은 구속 영장을 자수하기 위하여 거기에 있던 사람이 없습니다. 그것은 우리가 알고있는 것입니다. 그것은 분노를 일으킬 정도입니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-JA-10221	정말 분노의 문제가 있다고 생각합니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10479	닉은 그가 영토라고 말했습니다. 만약 누군가가 나에게 다가 오면 그는 웅크 리고 것이다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11144	@MagicAndFangs '망설이지 만! 나는 당신의 눈을보고 싶지 않아! 헝가리는 해피되어 팔을 가로 질러 화가 바라본.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11243	실제로 가끔 내가 잘못하고있는 사람에게 화 내지 않는 것도 있지만, 나는 바보가되는 것에 대해 자신에게 분노합니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11339	Frisco, Tx로 Future Stars 쇼케이스에서 이번 주말에 이루어지고있다 Fury-Haney 선수 전원에게 행운을 빕니다. # KGB # G 도시 # fury	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10477	당신이 dreamboys 티켓을 구입 한 것을 언급하는 것을 잊지 때는 # raging	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10742	모든 이것은 롤러의 손에서 불타고있는 담배에서 그녀의 턱 모서리 그녀의 입술의 지갑에서 '(104) 화려한 전환! @ laurengrodstein	분노	0 : 분노는 추정 할 수없는
2017-En-10726	그래서 레인저스 vCeltic ll # revenge	분노	0 : 분노는 추정 할 수없는
2017-En-11340	# Scorpio 's 상처 후 조용한 장소에 철회 할 수 있습니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10588	@Daniel_Sankey @ hayleyp79 Haha .... 사실, 강아지 후에, 나는 모두가 GWS을 위해 장미 냉각하고 있습니다!	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11100	@ NJDDanin123 나는 개인적으로 # 무관하게 좋아했습니다 .OurHouse #OneJersey #werealldevilsinside \ n 팩이 떨어질 때까지 아무것도 없습니다 .NJDevils	분노	0 : 분노는 추정 할 수없는
2017-En-11426	나는 이것이 어떻게 끝나는지를 볼 수 있습니다. \ n 모든 비참한 비극 중 \ n 나는 당신에게 내가 지출해야하는 모두를 제공합니다. 그리고 당신은 아무것도 나에게 돌려 보내지 않을 것입니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10687	오늘의 # DragRace # AllStars2 에피소드 GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya #revenge # bwahaha	분노	0 : 분노는 추정 할 수없는
2017-ja-10105	당신은 항상 불평 만, 왜 사람들이 당신을보고 싶지 않아 궁금하게 생각한다. 당신은 날 화나게. Stfuuu !!!!	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11236	나가 미국 경찰 훈련을보고있는 모든 인간의 존엄성을 분개를 불러 일으키고 갈등을 확대하기 위해 계산 된 것 같습니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11036	나는 당신을 죽이고 당신을 파괴하고 싶다. 당신이 죽기를 바라고 나는 플린트을 취소 싶다. #emo #scene #fuck #die # hatered	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10446	@VerizonSupport 내 아내와 나는 오늘 우리의 iPhone을 손에 넣고 있었다는 것을 말해 주셔서 감사합니다. 그리고 ETA # thanks	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11634	@ EmmaHobbs1 나는 그것을했다! 3 일 후 내 주문 나와 같은 우편 번호조차 없습니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10196	@CI 나는 Monalisa이 누군가를 위해 경의를 표하고 있다고 생각하지 않습니다! 그녀는 몇 깃털을 프릴로하는 것이라고 생각한다. # TheJail	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11678	다음 컵의 도시에 다른 손실 🙈😂😂cmon 연합!	분노	0 : 분노는 추정 할 수없는
2017-En-10973	그래서 침울하지는 않지만, 죤데 소문의 여자 친구 한 사람이 WGM 가고있다. 나는 기꺼이 말하고있는 것은 아니지만, 나는 기뻐하고있다. 분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10219	놀라운 @BarclaysUK에 들어가기까지 10 분 소요되며, 그래도 과실이 있고 전화는 # treatcustomersfairly	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11074	@JessicaValenti @nytimes 나도 몰라 ... 백인 남자가 고함을 던지고있는 것에 대해 거의 펑크 아니었다?	분노	0 : 분노는 추정 할 수없는
2017-ja-10705	음식을 건너 뛸 수는 # disointment와 #을 나타내는 전국적인 방법입니다. # wiz	분노	0 : 분노는 추정 할 수없는
2017-En-10159	@ mdivincenzo9 그는 바보, 나는 그를 미워 # bitter	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11448	@GreatFallVoyagr #bitter는 그것을 정리해! Nicole 축하합니다! 그것은 모든 사람들 # bb18 지금 # 생존자에!	분노	0 : 분노는 추정 할 수없는
2017-JA-10379	@HebertofNH 분노의 분노를 토해내 위해 지불 한 사람이 말을 할 때마다 당신은 귀를 기울여야한다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-10248	나는 진실을 여러 사람에게 전 해주면 어떻게되는 것일까라고 생각해 # 기절 #uhoh # angry	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-40453	싼 내 brodcast	분노	0 : 분노는 추정 할 수없는
2017-ja-10797	내일 또는 심야까지 휴스턴은 코치를 잃을지도 모른다. #yikes #offense?	분노	0 : 분노는 추정 할 수없는
2017-En-10457	@simon_penn_r @ AntisocialJW2 꽤 심한 GG 급진적으로 바뀌었다)	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10120	@FoxNews @SheriffClarke @FoxNewsInsider이 사람은 우리의 사법 제도에 대한 모욕입니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10190	당신이 아직 Wentworth의 전체 시즌을보고, 일 바보 할머니가 우리를 위해 그것을 파괴하면 😭😭 @__ KirstyGA # oldcunt	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11210	@ paulsherard @margarethaynie 와우 나는 성적 돼지 얼마나 내가 있는지 알았다! 난 정말 화가 사람에게는 유감입니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11157	Howard Webb 항상 답을 알고 있었다. 빨간색은 없습니다. 서튼과 쿠레이간 분노! 하하하	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-40403	@ ticcikasie1 고민, 그녀는 그녀가 트레이너를 탐낼라고 산만 한 "가데 보와루"을 냈습니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11188	빅이 좋아하는 캐주얼 짹짹의 일부는 나를 개그에있는	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11620	@ Supergold2002 Terence- 내 가족과 학교에서 분노의 문제가 많이있었습니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11409	@Evan_McMullin 그는 사람들을 몫하고 서로 관통 캠페인을 보냈습니다. 그의 메시지는 "다른"& nbsp; 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-10953	@EtherealMystic_ 그녀는 자신의 마음에 분노하고이 전쟁에 이기고 있었다. 그가 무언가에 관여 욕망과 사랑 -	분노	0 : 분노는 추정 할 수없는
2017-En-10832	@ JaredLeto Jared + # 스냅? 💘	분노	0 : 분노는 추정 할 수없는
2017-En-11166	당신이 어리석은 때 들어와 눈을 떴다 @CallumPinner 당신은 무슨 일이 있었는지 # 피곤 # fuming	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11143	마지막으로, 필요한 파일을 대학의 서버 드롭 박스에 업로드했습니다. 그것은 30 분의 시간과 나의 부분에 많은 저주와 분노를 가져왔다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-40317	내 조카는 내 얼굴에 눈썹이 있고 그는 나에게 "당신은 아름다워 '라고합니다! 😢💞😩	분노	0 : 분노는 추정 할 수없는
2017-En-10337	사실은 내 동생과 함께 사랑에 빠질 수 있습니다. 그녀는 TV를 90 % 컨트롤하고 있습니다. 나는 한 것을 보면, 그녀는 행복합니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10527	@thomeagle 교육, 문화, 그리고 관용을위한 세계적인 수준의 센터로서의 지위를 유지하고 강화하는 데 도움이됩니다. # outrage	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10141 & nbsp;이 사람은 내 인생에 분노를 가지고이 Bpharm4 남자 Eish 있습니다. 내가 어둠처럼 그를 보니, 내가 @RamatsobaneM 알고	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11309	당신은 누구입니까? 나는 다른 사람과 나를 비교하고 있습니까? 나는 인간입니다. #lit # fire	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11173	아니, 젖꼭지은 날 화나게하지 않습니다. 그러나 여성이 의도적으로 자신의 몸을 매우 현명하게 블링를 보는 것은 슬픈 일입니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10938	내 허슬이 아무도 화 내지 않는 것을 희망한다.	분노	0 : 분노는 추정 할 수없는
2017-En-11626	라모스는 그의 머리에서 미움을 점화 최고의 일을합니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11112	@MegMuphet 나는 당신을 화나게 것을 의미하지 않았습니다. 나는 개인적인 경험에 의하면했습니다. 아이들이 수업에 참여하고 그들은	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10651	내 운이 가을의 나머지 부분이 오늘된다면 이번 시즌 좋아하게된다고 생각한다. #bestdayever #magic # work	분노	0 : 분노는 추정 할 수없는
2017-ja-10827	Snapchat👻Carlabtst15 # snapchat	날 따릅니다. 분노	0 : 분노는 추정 할 수없는
2017-En-10653	@sippycoups 너무 많이 먹으면 아프다면 어디 선가 마시마로이 기분 좋고, 부드럽고 상관없는	분노	0 : 분노는 추정 할 수없는
2017-En-11640 & nbsp;이 책의 내용보기 :이 상품에 태그를 붙이는 (상세) 태그는 상품과 관련성이 매우 강한 키워드 또는 라벨과 같은 것입니다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-10212	@BTC에 참여하지 마십시오. 그들은 당신에게 전화를 걸어 당신과 얘기하고 무례입니다. 내 acc willynilly에서 돈을 빼앗아!	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10622	@ SarahMi40605180 @kaileighhxo 거품을 무시하고 죄송하지만 결코 착각하지 않았습니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10067	다시 내 먹이의 유일한 것은 뭔가에 대해 화가이며, 내 동생은 모든 공백을 채울 것입니다. 분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11127	@Gielnorian @HedonismGaming cmode grimrail 나에게 성난 꿀벌을 먹고 싶었다. 분노	3 : 높은 분노가 추측 할 수있다
2017-En-10066	엄마는 내 전화를 끊어 버렸습니다. 나는 매우 화가입니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11533	명성을 쫓는해서는 안됩니다. \ n 축소와 \ n 시작과 \ n에 \ nWRDSMTH	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11449	내가 원하는 대답이없는 것은 싫어요. #tomourssuck #prayinsnotcancer # angry	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11444	@RuPaulsDragRace #allstars \ n #RuPaul를 볼 것으로 기대하고 있습니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10001	그래서 내 인디언 우바 드라이버는 누군가에 N 단어를 불렀습니다. 내가 움직이는 자동차에 없었다면 나는 # disgusted	분노	3 : 높은 분노가 추측 할 수있다
2017-JA-10368	#Hudcomedy #AdamRowe #insult Slutfaceshongnugget	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11142	이러한 NA 아이들은 끊임없이	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-JA-10267	왜 mfs이 답답합니까?	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-JA-10279	안녕하세요? 당신의 첫 번째 출생, 당신은 항상 내 농담을 웃음해야합니다. # offended	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10319	정말 정말 현명한 시간에 잘 필요가 있다는 것을 분개했습니다. 나는 사람들과 이야기하고 싶다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-11341	@ThatAnt_ @Football_Pollss 나는 많은 아기 빌라 팬들에게 말을 걸어 왔습니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10632	@ St8edge4life88 음, 내가 싸우는 대 선인장을 할 수 있습니다 패자 wcw 해변에서 bash에서 매치 웃음	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11085	나는 골든 오션 일전 그것이 무성한했고, 나는 개그를하고 아팠다 ... £ 20의 낭비 - 나는 불이 @ EmmaGould_ 당신이 그리워요 & nbsp ; 분노	3 : 높은 분노가 추측 할 수있다
2017-En-10648	만약 당신이 그의 향을 그의 건강에 해 주면 왜 Caller Max 쇼를 듣고있는 것일까? @ MSignorile	분노	0 : 분노는 추정 할 수없는
2017-En-11171	당신은 화가 비둘기처럼 용감인지, 가장 관대 한 마우스입니다. 윌리엄 셰익스피어	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11073	흑인 여자 LEO는 8 번 쏘이고 필라델피아에서 사망했습니다 - 흑인의 추방자는 어디에 있습니까? @BarackObama #Sharpton #blm # TheFive	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-40574	이제 그들은 안개에 대해 걱정하고 있습니다. 나는 젖은 손으로 사용하거나 언제든지 화장실에 넣어 사용할 수있는 전화를 위해 다친 것을 가지고 있습니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-41459	나는 당신의 모든주의가 필요합니다! 만약 내가하지 않으면 나는 소리를내는 것입니다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10649	나는 트랙터 내 스냅 이야기를 부르려고하고 있습니다. 그것을 조금 끄십시오.	분노	0 : 분노는 추정 할 수없는
2017-En-10978	@TheRevAl은 왜 "항의"의 부정이 #burning와 # 공갈의 빛을 필요로 하는가를 가르쳐주세요. #toussaintromain 진정한 리더입니다!	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11098	당신은 항의의 정의를 살펴볼 필요가있다 사람들. 당신이하고있는 것은 파괴 행위라는 항의가 없습니다. # stop	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-10997	지루한 채 킹 / 스 내쳐 트 # kik # 킷키 #kikmessage # boredaf # 지루한 # 스냅 샷 # snapchat # 국가 # countrygirl	분노	0 : 분노는 추정 할 수없는
2017-En-10147	당신이 출발하고 2 일 후 게시물에 도착하는 양식을 픽업하기 위해 700 마일을 이동 느낍니다. # fume	분노	3 : 높은 분노가 추측 할 수있다
2017-ja-11348	내 씨앗 @ RiveraJose39 생일 축하합니다! ️! ️! ️ # ️renval #### y #### be ## be ## den ## 테이타	분노	0 : 분노는 추정 할 수없는
2017-En-11237	@strangerpeace 우리는 다음 만날 때 행사를 열 것입니다. 그것은 무언가를 태워 아마도 술이나 카페인을 말려 들게 것입니다.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11204	@douglas_nat @ one11north 나는 오늘이 필요합니다! 나는 스토로삐 9 세에서 이것을하지 않으면 안나요?	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11229	28 세의 남자가 가르다에서 끓는 물 냄비를 던졌다. 브러시의 샤프트로 가르다 잔 ... Letterkenny 지방 법원.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-11116	JV 여자는 오늘 W 및 Stonington를 2-1로 이겼다. K Waite와 S Winakor의 골. @DeluciaAlexis 1 어시스트 @ mhseccathletics	분노	0 : 분노는 추정 할 수없는
2017-En-11274	@bt_uk 광대역 지금 가입하게 후회하고 있습니다 # 버진 버진와 결혼해야합니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10079	나는 점심 식사 없음, 저녁 식사, 돈없이 무엇을하려고하고 있습니까? # hangry # day5	분노	3 : 높은 분노가 추측 할 수있다
2017-En-10551	@hoytschile 분노의 길!	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-ja-10775	다음 미치광이에도 스토리 모드가있는 것을 바라고 있습니다. 피파 17처럼	분노	0 : 분노는 추정 할 수없는
2017-En-11571	나는 이미 악화 너무 왜 저를 악화시킬 것인가?	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-11199	찬송가 위해 Dm을 초대 😜💦 # napme #dm #nudes #tribute #cumtribute #cock #snap #cum # swallow	분노	0 : 분노는 추정 할 수없는
2017-En-10670	@ stoozyboy1 @ chris_sutton73😂😂 아 좀비 분노 😂	분노	0 : 분노는 추정 할 수없는
2017-En-11424	서클 K는 나를 위해 죽어 있습니다. 당신의 새로운 slushie 컴퓨터가 싫어요. # livid	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11633	@ EmmaHobbs1 나는 그것을했다! 3 일 후 내 주문 나와 같은 우편 번호조차 없습니다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11441	@SouthernRailUK은 Streatham Cmn에서 Clap Junc & amp; 지금 열차는 9 분의 여행을위한 20 분 걸렸습니다. 읽어 #fuming 2 열차를 놓쳤다.	분노	3 : 높은 분노가 추측 할 수있다
2017-En-11136	우리는 2 명의 거짓말 쟁이를 위해 = 1/2 bil $ 화가. (Actors) 미국에서 가장 쓸모없는 사람들 100 X를 더 열심히하고있는 우리는 어디 있느냐? @ FoxNews	분노	3 : 높은 분노가 추측 할 수있다
2017-JA-31557	당신이 .. # angry & gt; _ & lt; .... 당신이 #happy 때 결코 #promis을 만들어서는 안됩니다 :) : *	분노	2 : 적당한 양 분노가 추측 할 수있다
2017-En-11032	나는 거의 그녀가 그것이 대단한 것 같아 화가. 그녀는 내가 말 그대로 그녀와 카이를 위해 무언가를하는 것을 알고있다.	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10839	내 인생의 모든 굶주린 사람들에게 감사합니다! 굶어 배우고 변화하고 성장하고 도움 등 - 아무도 그것이 좋은 것을 확인하지! # relentless	분노	0 : 분노는 추정 할 수없는
2017-ja-11303	@UN_Women @JustinTrudeau @CanadianPM 토루데 다시 분노의 문화에 잡힐. 설교는 광고 호미네무을 내지 만 결코 그들을 지배하는 것은 아니다. 분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-ja-10203	검은 범죄에 흑인 분노가없는 이유를 알고 싶습니다 아무도 그 피해자를 모르는 것입니다 만, BLM은 미디어에 따라 경찰을 죽이는되어 있습니다. 분노	3 : 높은 분노가 추측 할 수있다
2017-En-10435	난 더 이상 #anger 그것을 설명 할 수 없습니다. # 타루스라 # 챠롯토 # 트랏 # 산드라 브랜드 # 삐란다 # 퍼거슨 # 배턴 루지 # 마이클 브라운	분노	2 : 적당한 양의 분노가 추측 할 수있다
2017-En-10528	크리스 나의 모든 내 맥 n 치즈를 먹었 기 때문에, 이마는 그의 모든 taffy를 먹을 # revenge	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-11575	나는 영화 밥이 Skittles 비유 대해 화가 들었다. 그는 실제로 Skittles가 없었던 것이 마음에 걸렸습니다.	분노	0 : 분노는 추정 할 수없는
2017-En-10612	당신이 알렉산드리아 고다드의 거짓말에 화가 난다고해서 내가 매일 친구임을 의미하는 것은 아닙니다. 순수하게 물고기 탐험 해보세요.	분노	1 : 분노의 양이 적은 것으로 추측 할 수있다
2017-En-10330	그들이 무엇을 해야할지 @eNCA은 정부의 도둑에 분노 작정입니다 ... # 부패 # FeesMustFall	분노	2 : 적당한 양의 분노가 추측 할 수있다
