ID＆nbsp; Tweet＆nbsp; ディメンションに影響する＆nbsp; 強度クラス
2017-JA-21303＆nbsp; @kevinrouthこれは私がゲームフェイスと呼ぶものです。#gameface＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-22090＆nbsp; ハッピーバースデーを私の好きな作家に、@StephenKing #writer #author＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20259＆nbsp; @RJAH_NHS @ ChrisHudson76 @mbrandreth＃日程＃潜在的リーダーシップ#excited #nervous＃proud＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-En-21599＆nbsp; 衝撃的だった@ JamieSmart93！＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20924＆nbsp; #Trends thread; 'P）..＃私の＃誕生日の後2分後に私の＃ドラフト＆amp;今#postedされました..so #close：' O！： '' / ...とにかく＃本当に#start ＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20850＆nbsp; @UndeadLayne @Lauren_Southernすべてのいじめっ子＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20530＆nbsp; @ jk_rowlingは怒っているoompa loompaが私のBoggartになるとは決して考えなかったが、そこにはあなたがいる。#boggart #PresidentTrump＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21231＆nbsp; @lukeshawtimeひどい＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20713＆nbsp; $ 100は、Teufelが来年前に組織内で「再割り当て」されていると言いますが、私はそれが早かったと思います... #Mets＃thirdbasecoach #terrible #lgm＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20727＆nbsp; ＃テスト＃煙＃アラーム、＃カーボン＃モノオキサイド＃検出＃バッテリーを忘れないでください。あなたの生活を救うことができます。#Lovinleeds＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-21899＆nbsp; @レクサム私はholidogに参加して、シェイクとテールスターを振りかけると、私はただそれを愛する1人の定期的な顧客を持っています🙈🙈haha@ EmilyHD26 @ellshd＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21887＆nbsp; HRCのための@HillaryClintonアメリカ人！おそらく、世界を見て、国を救うために恐怖を取り除くと、あなたはDEMSを出すでしょう。＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-JA-21008＆nbsp; 私は元々のエア・バドルがこれらのひどい続編やスピンオフの継続を正当化するためにどれくらいのお金を払ったのか不思議です。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20671＆nbsp; 私は#shockと#awe、そして#toddlerが夕食を取るために管理している場所にいる。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21867＆nbsp; @Mista_Nightmareなぜ私は毎週あなたの家族と時間を過ごすのビデオをするのか分からないホラー#takeabreak＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20313＆nbsp; 小説に加えて、この学期の私の研究論文に私は運がいいと思う。15-20ページ、ああ、少年。#daunting＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-ja-21980＆nbsp; @OpheliaMCFLY_GDはい！いったん私は人々と一緒にやってしまったんだけど、本当にやったよ...私に嘘をつくことは、誰かができる悪いことだ。私は悪夢だよ＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21915＆nbsp; @ monsoonuk昨晩午後10時前に注文し、翌日に支払った。注文を払うことを迷っていませんでした。今14営業日の払い戻し！＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20455＆nbsp; @Morning_Joe @JoeNBC @mikebarnicleトランプは、難民の状況は「それは人生の質に関するテロリズムだけではない」と述べている。メモを取る。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21124＆nbsp; @マリッサ_フロスト@NevAmore_MFC恐怖私はあなたを愛している！いつか私と一緒に冒険に来てください！＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21966＆nbsp; 私は新しいアメリカのホラーストーリーにとても混乱しています。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20086＆nbsp; @gdimelow @TheDailyShow @ NivenJ1 @jordanklepperこれらのインタビューでは、私のひどいことを恐れている。私はそんなに多くのダム、ダムアメリカ人を想像したことはありません。＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-En-21265＆nbsp; あなたが離れて一緒にバンドする必要はありません＃彼は憎しみを促進し、燃料を＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-En-22182＆nbsp; @ jamieyatesそれが私たちが努力していることです、Jamie！途中で疑問がある場合は、お気軽にお気軽にお問い合わせください。🙂＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-21989＆nbsp; @ breadf2man @SunApologyと明日はケルビンマッケンジーだ。#shudder DontBuyTheSun＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-22156＆nbsp; @Simon_Barrett私は週にメキシコで開くとき@BlairWitchMovieを見ます。それを作ってくれてありがとう、落胆しないでください。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20728＆nbsp; 勇気の犬は子供のためのアメリカのホラーストーリーのようなものです＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-20198＆nbsp; 単独でいることは孤独であることよりも優れています。寂しいよりも悪いことを知っていますか？空である。そうです！\ n＃外出先＃単なる市外＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-JA-20843＆nbsp; 誰かがあなたに「あなたを裂く」と言い、彼らが言わなければならないことは、なぜあなたはとても背が高いのですか？＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20137＆nbsp; #UNGAの#Indiaの返信権 - ＃パキスタンの人権宣伝は、それ自体がテロリズムの世界的な震源地である国によるものです。恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-ja-21508＆nbsp; ミネルヴァが彼の岬を噛む時はいつも集めています。震え始め、彼の髪の毛を手で動かす。\ n \ n 'あなたは確かに\ n @ ardentflier＆nbsp;できます。恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21001＆nbsp; あなたが今までに望んだことのすべては、恐怖の反対側にあります。-George Addair #ThursdayThoughts＃あなたの励まし人#life＃quote＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20450＆nbsp; 私は@windows 10を使用しなければならないたびに壁をパンチしたいと思っています。言い換えれば、最悪の製品はこれまでに＃windows10 #awful #killme＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21366＆nbsp; @comcastあなたは誰かを送るために150追加料金を請求し、あなたのケーブルサービスはまだ動作しません。それは強盗だ。#cable #horrible #service＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20760＆nbsp; @MS_Hiddle_Batchいいえ、デンマークの味ははるかに良いですが、デンマークのペストリーは作るのは難しいことができます！＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20250＆nbsp; @AmyMekこれはあまりにもばかげて、私は今でも笑うことができました（私の国の未来のために泣く気がしなかった場合）。#wakeupcall＆nbsp; 恐れ＆nbsp; 1：低い量の恐怖が推測できる
2017-JA-20111＆nbsp; バックグラウンド。＃ストレスの時に少し苦しんだ。いつも少しでも#shy。約8年前（30歳）に私は冗長化されました。それが始まったのは＆nbsp; 恐れ＆nbsp; 2：中程度の恐怖が推測できる
2017-ja-21651＆nbsp; #EFTはセラピストである40年の歴史の中で私が学んだ最も効果的なツールです。Curtis A. Steele（精神科医）＃ストレス＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-ja-21215＆nbsp; あなたがプレスするのが怖いときは#bgoodthepoet #PrayForMe #ThisIsAGodDream＃Career #help #fear #heart #HeartRacing＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
2017-JA-22109＆nbsp; @EricNobody @ArmouredSkeptic @YouTubeこれは、誰が最初に誰のフラグを立てることができるの冷戦を開始するつもりです。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-21065＆nbsp; @ Burnt_Out_Darth @theaterofscifiありがとう。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-20505＆nbsp; @FJHobson @ Beaker126 @Biastaiあなたは右翼の恐怖を止めるために私たちのプロフィールをどう提言しますか？恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20618＆nbsp; オバマ政権はテキサス州が難民申請をテネシー州で行うようにテキサス州の計画を拒否している。援助する。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20627＆nbsp; @Taniel @LOLGOP茶色の人だけをチェックすれば、大笑いするでしょう。シャツ、茶色の人だけを言う法律を作りましょう。＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-21248＆nbsp; @CesarSampao @thisisboltonは私が町の中心で始めることを得ない。毎週行っていました.... 18か月間はありませんでした。#horrible＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-En-20410＆nbsp; @Theresa_Talbot @fleurrbie Haha ...恐ろしい馬鹿げた話をお詫び申し上げます...もっと出かける必要があります....最近、私は結婚しました...＆nbsp; 恐れ＆nbsp; 0：恐怖は推測できない
2017-JA-22143＆nbsp; 私はとても緊張しています。＆nbsp; 恐れ＆nbsp; 3：大量の恐怖が推測できる
