ID	Tweet	분노	기대	혐오스러운	두려움	기쁨	사랑	낙관론	비관론	슬픔	놀라움	믿음
2017-Ko-21740	@ 페이스 안녕하세요. 잘 기억합니다. # 기분이 상한 # 상식 # 긍정적 인	0	0	0	1	1	1	1	0	0	0	0
2017-Ko-10966	자동 고침은 'em'을 'me'로 변경하여 크게 재발송합니다.	1	0	1	0	0	0	0	0	0	0	0
2017-Ko-10503	나는 조종사를 본적이 없다는 것을 의미하지만, 배우 그룹이 끊임없는 허무주의를 피하면서 스토리 라인을 수행하는 것을 보는 것이 좋다.	1	0	1	0	1	0	1	0	0	0	0
2017-Ko-21716	@ WaterboysAS 나는 동의하지 않는 사람을 전략적으로 투표하지 않겠다. 많은 클린턴 투표는 공포 및 부정성에 근거를 두었다.	1	0	1	1	0	0	0	0	0	0	0
2017-ko-20316	@ RogueCoder250 우리는 많은 문제에 빠졌습니다 !! 나는 Rev가 우리 프로젝트의 재미있는면을 보지 않을 것이라고 생각한다.	0	0	0	1	1	0	0	0	1	0	0
2017-Ko-10936	@ Jen_ny69 사람들은 항상 모든 사람의 상황이 다르기 때문에 불쾌해질 것입니다! 우리가 아이를 낳았다 고해서 우리가 정착해야한다는 것을 의미하지는 않습니다.	1	0	1	0	0	0	0	0	1	0	0
2017-ko-30541	당신은 자신을 최고의 길로 찾아야합니다. #glee	0	0	0	0	1	1	1	0	0	0	0
2017-ko-20393	@ Aliki111 Haters! 당신은 자기 가치가 낮습니다. 당신의 망상에서 의롭다는 의인. 당신은 변화에 대한 생각에 집착합니다. 변화는 필연적이다.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-30296	매일 #smile을 통해 #clients 관계를 긍정적으로 시작하십시오.	0	0	0	0	1	0	1	0	0	0	0
2017-ko-20473	나는 목숨을 걸고 그를 주문한 후에 그를 구했다. 나는 당황하지 않고 침착하게 그를 구출했다.	0	0	0	0	0	0	1	0	0	0	0
2017-ko-10565	@ SlaveGuinevere는 찌르는 것보다 작은 찌름을 더 많이합니다 .......... 그러나 당신은 테네시에 와서 그것을 얻으셔야합니다 1	0	0	0	0	0	0	0	0	0	0	0
2017-ko-21752	@imtarakate Uggh는 정말 끔찍합니다. 당신은 상상의 스트레칭으로 나쁜 사람이 아닙니다. 이 사람이 그 사실을 깨닫기를 바랍니다.	0	0	1	1	0	0	1	0	0	0	1
2017-Ko-11251	모든 젊은이들은 나이 든 참가자들이 어떻게 Bakewell Tarts를 # GBBO	1	0	1	0	1	0	0	0	1	0	0
2017-ko-40949	#depression으로 살아가는 것은 당신이 \ nevery day의 새로운 날에 의해 패배해야한다는 것을 의미하지 않으며 어제는 오늘의 모습을 결정하지 않습니다 :-)	0	0	0	0	0	0	1	0	1	0	0
2017-ko-20092	#Mumbai에서 신선한 #terter 위협과 경고음이 울린 후 안전을 기원합니다 & amp; 도시의 모든 사람들의 안전 # 마하 라 슈트라 #news	0	0	0	1	0	0	0	0	0	0	0
2017-Ko-21374	@ TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra가 그녀가 Tamra를 흔들면 그녀는 그녀를 위로 할 것입니다. \ nKelly는 #needstobeadmitted # bully	1	0	1	0	0	0	0	0	0	0	0
2017-ko-21886	그는 인도가 카슈미르에서 인권 침해를 촉구했으나 파키스탄에서 테러를 일으키기위한 인도의 역할을 TTP, BLA & amp; MQM.shame #ZH	1	0	1	0	0	0	0	0	1	1	0
2017-KO-21219	내가 카메라를 다시 집어 올릴 수있을 때까지 약 7 주. 나는 10 월에 그룹 묘지가 있다고 생각하지만 나는 만들 수있다! #photography	0	1	0	0	1	0	1	0	0	0	0
2017-ko-30081	@morgannbroom 예 ❤️❤️ & amp; 응원 동창회 게임!	0	0	0	0	1	1	1	0	0	0	0
2017-Ko-20533	나는 너무 수줍음이 많은 1 학년이었습니다.이 남자는 제가 영어를 말했는지 물어 봄으로써	0	1	0	0	1	0	0	0	1	0	0
2017-ko-41251	사랑은 모든 행복과 모든 슬픔과 모든 감정이 다른 사람에게 의존 할 때입니다.	0	0	0	0	0	1	1	0	0	0	1
2017-ko-40646	@Wabermes @RavalliRepublic은 좋은 것을 가지고 있었지만 기자는 그만 뒀다.	0	0	0	0	0	0	0	0	0	0	0
2017-ko-20764	@BigLepley @ angela31694996 @ TheIndigoArrow GTA 온라인 자전거 타는 사람 DLC가 나올 때 자전거 타는 사람 갱을 함께 시작하고 싶습니까?	0	1	0	0	1	0	1	0	0	0	0
2017-Ko-11506	@ Kristiann1125 LOL 와우 내가 정말 말할거야?! 하하, 크리스나 아니? 너는 더이상 나를 괴롭히지 않는다.	1	0	1	0	1	0	0	0	0	1	0
2017-ko-41397	스트레스를 받으면서 마약을 바르는 것이 최선책이 아닐 수도 있습니다. 절망의 어떤 부분이 정황인지, 마약은 무엇인지 알기가 어렵습니다.	0	0	0	0	0	0	0	0	1	0	0
2017-ko-41073	Ive는 오늘 나의 나쁜 정찰병에 대해 놀라 울 정도로 우울함을 느꼈습니다 : 'D 그러나 나는 그것이 모두 RNG이고, 나는 그 많은 보석을 쓰지 않았다	0	0	0	0	0	0	1	1	1	0	0
2017-Ko-10559	황색 레인저가 아시아가 아니라는 것에 대해서도 분명히 여전히 씁쓸하지만, 할리우드에서의 아시아 대표는 본질적으로 어리 석다.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-20648	@mas_critical이 아이러니는 이런 종류의 물건에 항의하는 사람들이 오웰의 악몽이라고 생각합니다. 그들은 그들이 싸우고 있다고 생각합니다.	1	0	1	0	0	0	0	0	0	0	0
2017-Ko-21927	@loismackey_ @Dory nah 길은 끔찍한 일입니다.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-20218	@MaryamNSharif 난 그냥 베츠 당신이 박세리에 끔찍한 공포를 가지고 있다고 생각 리더 쥬얼리는 지도자와 리더의 차이를 잊어 버린 dtw 테러리스트!	1	0	1	1	0	0	0	0	0	0	0
2017-ko-30952	천사의 기쁨은 내 모든 것입니다	0	0	0	0	1	1	0	0	0	0	0
2017-Ko-10474	퍼즐 포틀랜드 인구를 열어 투자하는 것은 똑같이 상관 관계가 있습니다. XLzjYhG	1	1	0	0	0	0	0	0	0	0	0
2017-ko-20413	모든 것을 놓아주는 예배가 절실히 필요합니다.	0	1	0	1	0	0	1	0	1	0	0
2017-ko-40195	금요일까지 침대에서 술에 취한 Brb	1	0	1	0	1	0	0	1	1	0	0
2017-ko-10649	나는 내가 트랙터에 관한 나의 간단한 이야기에서 노래하기 시작할 거라 믿는다. 조금 더 켜십시오.	0	1	0	0	1	0	0	0	0	0	0
2017-Ko-41456	6 년 만에 내 생일에 술에 취한 것은 이번이 처음입니다. #recovery #sobriety #sober #soberissexy #sobernative	0	0	0	0	1	0	1	0	0	0	0
2017-Ko-11034	약한 사람들의 복수. 강한 사람들은 용서합니다. 지적인 사람들은 무시합니다.	1	0	0	0	0	0	1	0	0	0	0
2017-ko-10396	분노의 분노가 있습니다. ep 2가 곧 나옵니다. #Youubou #youtubegaming #rage	1	0	0	0	0	0	0	0	0	0	0
2017-ko-40760	저는 그가 이것을 이해하고 자랑 스럽습니다. 그는 사랑, 생각, 연민을 보여 주며, 흐리게 진행되지 않습니다.	0	0	0	0	1	0	1	0	0	0	0
2017-ko-30218	왜 나는 방금 이번 주에 기쁨을보기 시작했습니다. 나는 이제 중독되었습니다. #glee #GLEEK	0	0	0	0	1	1	0	0	0	0	0
2017-Ko-21649	@Bridget_Delia @originalaubsmg 그게 끔찍한데	1	0	1	1	0	0	0	0	1	0	0
2017-Ko-10742	이 모든 것은 로라의 손에 타는 담배에서 나온 것이고, 턱의 각도, 입술의 지갑입니다. '(104) 화려한 전환! @laurengrodstein	0	0	0	0	0	1	0	0	0	0	0
2017-Ko-21926	내일은 절망의 마지막 에피소드가 될 것입니다. 그래서 나는 감정적으로 준비되지 않았을 것입니다.	0	1	0	1	0	0	0	0	0	0	0
2017-Ko-21045	호르헤는 그것을 정당하게 받아들입니다. 그는 약해. # 90 일의 약혼자	1	0	1	0	0	0	0	0	0	0	0
2017-ko-30985	현대의 가족은 결코 나를 응원하지 못합니다. 특히 필.	0	0	0	0	1	1	1	0	0	0	0
2017-ko-31561	때때로 나는 앉아서 그를 기쁘게 해드릴 자신을 자랑스러워 할 때가 있습니다.	0	0	0	0	1	1	1	0	0	0	0
2017-Ko-10827	Snapchat 👻 Carlabtst15 #snapchat & nbsp;에서 나를 팔로우하십시오. 0	0	0	0	1	0	1	0	0	0	0
2017-ko-10252	@ lemonlover666 '젠장'은 지옥에서 나오는 불타는 작은 악마를 묘사하기조차하지 않습니다.)	1	0	1	0	0	0	0	0	0	0	0
2017-ko-40175	낙심하지 않으려면 너무 어렵습니다.	1	0	0	0	0	0	0	1	1	0	0
2017-En-31116	@ JessicaZ00 @ZRlondon과 동등! 그런 놀라운 분위기! #PhilippPlein # 치어 리더 #stunt #LondonEvents #cheer	0	0	0	0	1	1	0	0	0	1	0
2017-Ko-21998	어딘가에 나는 TSD & amp; 그것을 물었다 2 dn을 닫아라. Congis 의무 & amp; 그것을 드러내고, 그들을 추적했다. #BadlaofUri	0	0	0	0	0	0	0	0	0	0	0
2017-ko-40520	면접 준비, 나 자신, 하나의 둔한 주제에 대해 이야기하는 것이 싫어! #yawnoff	1	0	1	1	0	0	0	0	0	0	0
2017-Ko-11180	집에서 맨체스터 더비	0	0	0	0	1	0	0	0	0	0	0
2017-ko-21565	아마 여성들보다 더 유용 할 것이지만, 나는 지하철에서 괴롭히는 여성에 관한 기사를 다시 읽는 것을 다루고 있습니다. #concern	1	0	1	1	0	0	0	1	0	1	0
2017-ko-31526	@ Girlandlurchers 그래, 다른 사람들을 응원하기 위해 항상 여기에서 들여다 보니! 나는 GBBO x에서 침을 흘리고있다.	0	0	0	0	1	0	1	0	0	0	0
2017-Ko-11538	@JaredWyand 아마도 트랜스젠더라면 미디어가 #outrage	1	0	0	0	0	0	0	0	1	0	0
2017-Ko-30572	그녀; 나는 쾌활한 관계를 원한다. \ nme; * 그녀를 소파에서 내쫓습니다 *	0	0	0	0	1	0	0	0	0	0	0
2017-Ko-21333	Romero는 내 11 개월 된 아기보다 더 끔찍한 것처럼 두려운거야.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-30855	매일 당신이 그것을 만드는 것입니다! #goals #challenges #business #goals #success # 사진 작가 #photography #ThursdayThoughts	0	0	0	0	1	0	1	0	0	0	0
2017-Ko-10522	'업데이트'이후로 내 폰은 거의 40 % 빠르게 전력을 잃습니다.	1	0	1	0	0	0	0	0	1	0	0
2017-Ko-11191	@ KatherineArabis 그것은 공중에서의 우상 숭배가 정상적인 것으로 취급되는 동안 그것은 당연한 것으로서 받아 들여진다.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-40717	모두 흐리게 나옵니다. \ n \ n 카메라 사용을 고려하여 1) 별 산책로 2) 접안 렌즈 투사.	0	1	0	0	1	0	1	0	0	0	0
2017-ko-30639	@ KMunie7 @KaranEsch Helluva 로트는 실제 게임보다 더 애니메이션되었습니다 & gt;. & lt;	0	1	0	0	1	1	1	0	0	0	0
2017-ko-40973	@onefumi 오, 알았어. 나는 많은 사람들이 당신의 트윗을보고 놀랐다는 손실을 애도하는 것을 보았다. 나는 여기 SA에서 오래된 것 같아.	0	0	0	0	0	0	0	0	1	1	0
2017-Ko-10924	분노, 분노, 증오는 오늘 당신 재산의 파괴자입니다.	1	0	0	0	0	0	1	0	0	0	0
2017-ko-30454	낙관주의는 성공으로 이어진다. - Bill Kerr @Coach__Kerr # 성공 #optimism #goals	0	0	0	0	1	0	1	0	0	0	1
2017-Ko-10160	@SkyUK 무엇 농담 !! 일찍부터 실수로 인터넷을 차단 한 다음 엔지니어가 더 이상 필요하지 않으면 다시 복원하지 마십시오.	1	0	1	0	0	0	0	0	1	0	0
2017-Ko-41446	@jimmyfallon @ ShawnMendes 난 그냥 소나무에 빠는 사람이야, 너를 긁어 모으고 싶다. 너를 쌓아두기를 원해. 나는 소나무에 빠는거야. #FallSongs	1	0	0	0	1	0	0	0	0	0	0
2017-ko-40180	그래서 나는 학교에서 싱크대 아래 귀걸이 중 하나를 떨어 뜨 렸습니다	0	0	0	0	0	0	0	0	1	0	0
2017-ko-30531	쿼터백은 매번 저를 망칩니다. #glee	0	0	0	0	1	0	1	0	0	0	0
2017-ko-20212	@Montel_Williams이 금지 조항이 통과되면 많은 사람들, 장애인 용 베테랑, #chronicpain, #iamkratom	0	0	1	0	0	0	0	0	0	0	0
2017-ko-21787	지난 40 년간 최고의 공포에 빠졌던 스티븐 킹 (Stephen King)의 생일 축하연과 최악의 상황	0	0	0	0	1	0	0	0	0	0	0
2017-ko-20704	"내 용기는 항상 나를 위협하는 모든 시도에서 일어납니다."- 엘리자베스 베넷 (Pride and Prejudice) \ n # 따옴표 # 근심 #FaceYourFears	0	1	0	0	0	0	1	0	0	0	1
2017-ko-41483	다음 달에 조를 보면서 여전히 침몰하지 않았습니다. 너무 감사하고 흥분했습니다.	0	0	0	0	1	0	1	0	0	0	0
2017-Ko-21072	Jim Lehrer의 손을 흔들 때 좋은 직장입니다. 고마워요, @keratx! @ mcuban을 껴안고 수줍음을 질렀다.	0	0	0	0	1	1	0	0	0	0	0
2017-ko-21699	나는 너무 지루하고 뚱뚱하고 완전하고 어리석게 비만하고 롤백한다.	0	0	1	0	0	0	0	1	1	0	0
2017-ko-40479	Sunderland 타임 라인은 모든 운명 & amp; 우리를 대면하는 어둠과 주중 우리에게의 긴 여행. #whatgoesaroundcomesaround	0	0	0	0	1	0	1	0	0	0	0
2017-ko-10651	가을의 나머지가 오늘과 같은 무엇이 간다 나의 운, 나는이 계절을 좋아할 예정이다라고 생각한다. #bestdayever #magic #work	0	0	0	0	1	0	1	0	0	0	0
2017-ko-40208	@happyandbashful 바람 피우다, 똑똑한, 삐, 반복. 왝.	1	0	1	0	0	0	0	0	0	0	0
2017-Ko-10597	트럼프즘은 마찬가지로 트럼프가 정치에 참여하기 오래 전에 의도적으로 그리고 의도적으로 만들어진 인종적 분개의 침대 위에 놓여있다.	1	0	1	0	0	0	0	1	0	0	0
2017-Ko-10141	그 남자가 내 인생에 분노를 가져 오는 Bpharm4 남자 Eish가 있습니다. 어둠이 나를 채우는 모습을 볼 때 @RamatsobaneM은	1	0	1	0	0	0	0	0	0	0	0
2017-ko-40834	Soooo는 내 머리를 어둡게 염색하고 싶지만 어두워지기 전에 심하게 닦으려고합니다.	1	0	1	0	0	0	0	0	1	0	0
2017-Ko-11414	눈물과 눈은 말라 버릴 수 있지만 나는하지 않을 것입니다. 저는 전구 안에있는 전선처럼 불타고 있습니다	1	0	0	0	0	0	0	0	0	0	0
2017-Ko-10668	지옥 같은 분노한 여자와 같은 분노 - William Congreve	1	0	0	1	0	0	0	0	0	0	0
2017-Ko-41355	@icapturpix @DRUDGE_REPORT 나는 동의한다. 현재의 좌파 민주당은 나 자신을 포함한 많은 회원들을 잃어 버렸다. 나는 Repub로 바꿨다.	0	0	0	0	0	0	0	0	0	0	0
2017-ko-40348	@DeltaAssist는 2 일 전에 flt 2 일을 시도했습니다. @BWI Turnd가 bcuz를 보았을 때 2 시간 늦었습니다. 에이전트는 #silvereliteleftbehind에 다른 파를 보냈습니다.	0	0	1	0	0	0	0	0	1	0	0
2017-ko-11637	@matthew_meadows 페레즈의 친구이기 때문에 불쾌 해하고 싶지는 않아. :) #Pace	0	0	0	0	1	0	1	0	1	0	1
2017-ko-41252	@antoboyle 나는 언젠가 연극을 통해 스페인에 올 수 있었으면 좋겠다. 나는 그것을 보지 않을 것이라고 믿을 수 없다. #sad	0	0	0	0	0	0	0	0	1	0	0
2017-Ko-20636	@VectoneMobileUK 최악의 고객 서비스와이 서비스 제공 업체의 전문성 부족! #phoneprovider #badbusiness	1	0	1	0	0	0	0	0	1	0	0
2017-KO-21387	발은 그 베이크 웰과 함께 하이킹 부츠에 조금 컸습니다. 작은 공포 # GBBO	0	0	0	1	1	1	0	0	0	0	0
2017-ko-30095	@Myahrissavietta 나는 이제 기분이 좋다.	0	0	0	0	1	1	1	0	0	0	0
2017-ko-30904	Bridget Jones의 아기는 피비린내 나는 재미있었습니다. # BridgetJonesBaby	0	0	0	0	1	0	1	0	0	0	0
2017-ko-22055	어젯밤 정말 이상하고 끔찍한 꿈을 꿨어. 나는 침대 전에 치즈를 먹지 않았다. #lovemysleep	1	0	1	1	1	1	0	0	1	0	0
2017-Ko-41195	@dublinwaltz bts '화양화 3 부작 MV는 항상 우울하지만 아름다워.	0	0	0	0	1	1	0	0	0	0	0
2017-ko-40404	Brad Pitt는 아동 학대로 수사 중이십니까?! 이 모든 것이 방금 #dark	1	0	1	0	0	0	0	0	1	0	0
2017-Ko-30533	이 놀라운 live.ly 방송은 @ matt.boss # musicallyjh	0	1	0	0	1	0	1	0	0	1	0
2017-Ko-21118	# 사진을 게시하려면 # 시작해야합니까?	0	1	0	0	0	0	0	0	0	0	0
2017-Ko-10241	@JasonMillerinDC @realDonaldTrump Prudence는 SKEPTICISM을 사용하여 2 ~ 3 주 동안 8 % 이상의 충돌을보아야한다고 제안합니다. 미디어 / HRC 축 #angry	1	0	1	0	0	0	0	0	0	0	0
2017-ko-30917	@DDogsScout '오!' 빅 보스 (Big Boss)는 거의 기분이 상쾌합니다. 내 가장 친한 친구가 된 사람이 우연히 만난다. '	1	0	1	0	1	0	1	0	0	0	0
2017-En-30090	@BlackishWriters가 얼마나 놀라운 지 알게 해 주신 디즈니 테마 에피소드에 감사드립니다! #hilarious	0	0	0	0	1	0	0	0	0	0	0
2017-Ko-10331	#rage에 새로운 콘센트가 필요합니다.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-30555	@brooks_swaggysquad #musically & nbsp;에 의해이 놀라운 live.ly 방송을 시청하십시오. 0	1	0	0	1	1	1	0	0	0	0
2017-Ko-30097	희망을 모으는 '희망을 되 새기며 (이번에는 허브와 함께), 그것이 얼마나 유쾌한지를 완전히 잊어 버렸습니다. 여기에	0	0	0	0	1	1	0	0	0	0	0
2017-En-11332	@RadioX @ChrisMoyles 와우. 이것을 영원히 들으 려하지 않았다. 임의이지만. 훌륭한 #sting #xph	0	0	0	0	1	0	0	0	0	0	0
2017-ko-20652	@PatBlanchfield 그래서 "Uber와 같지만 운전자가 아닌 다른 사람에 대한 절망감"을 의미합니다.	0	0	1	0	0	0	0	0	0	0	0
2017-ko-30493	@ buzzlightbeard2 자신을 사랑하지 않으면 ... 정직은 최고의 정책입니다. #smile	0	0	0	0	1	0	1	0	0	0	1
2017-Ko-10426	@healeyraine 나는 기분이 상 하네. 나는 실제로	1	0	0	0	0	0	0	0	1	0	0
2017-Ko-21029	내 방에서 101 Russell Howard, Tom Odell, Michael Buble !!! #pants #nogood	1	0	1	0	0	0	0	1	1	0	0
2017-ko-40299	Gaaaaaaaad! 런던에 머물러 있어야 했어!	1	0	1	0	0	0	0	0	1	0	0
2017-ko-31237	내일의 낙관주의가 오늘의 기반이되기를 바랍니다.	0	0	0	0	0	0	1	0	0	0	0
2017-ko-40565	@m_giacchino는 라디오 나 영화로 방영 될 예정입니까? 연못 위의 많은 팬도! #wales #lost	0	0	0	0	1	0	1	0	1	0	0
2017-Ko-21772	@ GambinoDeeJay @ Linda76Graham @mikeeshy \ n \ n 또한 Youtube에서 찾으려고하면 망할 악몽입니다.	1	0	1	0	0	0	0	0	0	0	0
2017-ko-30068	@ TheSandraGal 당신이 햇볕을 즐겁게 보내고 있다는 것을 알게되어 기쁘다. 수상 스포츠는 항상 재미 있고 도전적이며 기분이 좋다. #happiness # 아름다움	0	0	0	0	1	1	1	0	0	0	1
2017-Ko-11436	@ Bungie는 2 시간 이상을 지 냈으며 여전히 Fellwinters 피크 산에서 그 댐 SIVA 파편을 얻을 수 없습니다	1	0	1	0	0	0	0	0	0	0	0
2017-ko-22096	@ andreasarahco 캠퍼스에서 실제로 당신을 존경합니까? 이것이 당신을 놀라게 할 것입니다	0	0	0	1	0	0	0	0	0	0	0
2017-Ko-21099	#GetSmartWithARQ는 투자를 시작하는 현명한 방법이며 #whiteicenetwork는 스마트 소스입니다. 2 #start #skilled #manpower # 기업의 모금	0	1	0	0	1	0	1	0	0	1	0
2017-Ko-21874	Omg 나는 실제로 그녀가 점프하려고하고 있다고 생각했다. #bully # SouthPark20 #southpark	0	1	0	0	0	0	0	0	0	0	0
2017-ko-20961	@STLouis_RamsFan 팀 전체가 필드에 들었을 때 제한됩니다.	0	0	0	0	1	0	1	0	0	0	0
2017-ko-41038	생일 축하해. / #lost # 미술품 # 12years # 222004 년 4 월 # oceanic815	0	0	0	0	1	0	0	0	0	0	0
2017-ko-22007	#PeopleLikeMe 왜냐하면 그들은 행복한 외모를 보지 않기 때문에 내가 때때로 느끼는 절망이 아닙니다. #depression #anxietyprobz	0	0	0	1	0	0	0	0	1	0	0
2017-Ko-31143	오늘 밤은 반짝 반짝 빛나 네, 그만둬! 나는 궁금해. 집에 얼굴을 붉게 해. '# 발레리 봇	0	0	0	0	1	1	1	0	0	1	0
2017-ko-30188	슈퍼맨의 현재 운영은 계속 기쁨입니다! 영원히 창조 팀 #superman & nbsp;에게 사랑을 쏟아 부 었다고 느낄 수 있습니다. 0	0	0	0	1	1	1	0	0	0	0
2017-Ko-11477	속도 제한을 지키는 사람들은 나를 자극합니다	1	0	1	0	0	0	0	0	0	0	0
2017-ko-40714	#FF \ n \ n @ The_Family_X \ n \ n # 영혼 #blues & amp; #rock #band \ n \ n #heart의 음악 \ n \ nSoul & amp; #passion \ n \ nXx 🎶 xX	0	0	0	0	1	0	0	0	0	0	0
2017-ko-22201	마지막 @LGCanada 제품 - 구입하겠습니다! 물론 # 고객 서비스	1	1	1	0	0	0	1	0	0	0	0
2017-ko-20269	@DaniQays @AJENews 오하이오. 그래서 공포에 빠진 돌을 던져서 발표 할 b4 시위를 모으는 사람들이 파문을 일으켰다.	1	0	1	1	0	0	0	0	0	0	0
2017-Ko-41192	@jamiesmart 허! 항상 내 잘못이야. & gt; :( #huff #sulk	1	0	1	0	0	0	0	0 	1	0	0
2017-ko-10265	@StarklyDark '네가 날 믿어 줬어.' 그의 말은 그가 분노를 무시하고 아래의 상처에 집중하면서 부드러웠다. '나는 내가 망쳤다는 것을 압니다.' -	1	0	1	0	0	0	0	0	1	0	0
2017-Ko-21785	! @HMiglino @ CParks777 @Coco_Wms @ bodyfit67 @TruthEqualsFact @politicususa 나는 내 인생 ️ & NBSP에서 선거의 더 불안 적이 없다; 0	0	0	1	0	0	0	0	0	0	0
2017-ko-31371	@Johncrookshanks '엘리자베스 스미스!' 그녀는 기분 좋은 미소로 말했다. '만나서 반갑습니다! 어디에서 여행 했니? '	0	1	0	0	1	0	1	0	0	0	1
2017-Ko-20844	내 즐겨 찾기 # 호비는 # 호러지만 그것들을 너무 좋아하지는 않는다. 몇 년 동안 훌륭한 사람을 보지 못했습니다	0	0	1	0	0	0	0	0	1	0	0
